Date,Name,Year,Letterboxd URI,Rating
2013-06-07,Amen,2011,https://letterboxd.com/film/amen-2011/,0.5
2013-06-07,Burn After Reading,2008,https://letterboxd.com/film/burn-after-reading/,4
2013-06-07,The Apartment,1960,https://letterboxd.com/film/the-apartment/,3.5
2013-06-07,Frost/Nixon,2008,https://letterboxd.com/film/frost-nixon/,3
2013-06-07,The Wrestler,2008,https://letterboxd.com/film/the-wrestler/,2.5
2013-06-07,Inglourious Basterds,2009,https://letterboxd.com/film/inglourious-basterds/,3
2013-06-07,A Good Marriage,1982,https://letterboxd.com/film/a-good-marriage/,3.5
2013-06-07,Doubt,2008,https://letterboxd.com/film/doubt/,3
2013-06-07,The Curious Case of Benjamin Button,2008,https://letterboxd.com/film/the-curious-case-of-benjamin-button/,1.5
2013-06-07,Boyfriends and Girlfriends,1987,https://letterboxd.com/film/boyfriends-and-girlfriends/,3.5
2013-06-07,À nos amours,1983,https://letterboxd.com/film/a-nos-amours/,4
2013-06-07,Pauline at the Beach,1983,https://letterboxd.com/film/pauline-at-the-beach/,4.5
2013-06-07,Audience of One,2007,https://letterboxd.com/film/audience-of-one/,3
2013-06-08,A Letter to Uncle Boonmee,2009,https://letterboxd.com/film/a-letter-to-uncle-boonmee/,4.5
2013-06-08,Dogtooth,2009,https://letterboxd.com/film/dogtooth/,4
2013-06-08,Mother,2009,https://letterboxd.com/film/mother-2009/,3.5
2013-06-08,Vincere,2009,https://letterboxd.com/film/vincere/,3.5
2013-06-08,Tales from the Golden Age,2009,https://letterboxd.com/film/tales-from-the-golden-age/,3
2013-06-08,Bright Star,2009,https://letterboxd.com/film/bright-star/,2
2013-06-08,Lourdes,2009,https://letterboxd.com/film/lourdes/,3
2013-06-08,Face,2009,https://letterboxd.com/film/face-2009/,2.5
2013-06-08,We Need to Talk About Kevin,2011,https://letterboxd.com/film/we-need-to-talk-about-kevin/,4
2013-06-08,Room 237,2012,https://letterboxd.com/film/room-237/,2
2013-06-08,The Central Park Five,2012,https://letterboxd.com/film/the-central-park-five/,3.5
2013-06-08,Behind the Candelabra,2013,https://letterboxd.com/film/behind-the-candelabra/,3
2013-06-09,Amour,2012,https://letterboxd.com/film/amour/,3.5
